"ELR_ZONE","ELR","ELR_SYSID","ELR_STARTMILES","End Mileage","ELR_DESCRIPTION","ELR_SUBZONE","ELR_DRNMOD","ELR_STATUS"," ELR_INCLUDE","ELR_SMA","ELR_ELECTRIFICATION"
"QR","FHR6","3068","21.0061","30.1196","GANNOW JN - HALL ROYD JN","HRJ1","","","false","",""
"QR","FJH","2344","0.0000","1.1206","HALTON JN - FRODSHAM JN (FRODSHAM BCH)(F11)","HRJ4","","","false","",""
"QR","GBN","7061","-0.0054","0.0455","GUIDE BRIDGE E JN - GUIDE BRIDGE N JN (GUIDE BRIDGE E CURVE)(SDG ONLY)(G15)","HRJ5","","","false","",""
"QR","GBS1","7062","-0.0155","1.1089","GUIDE BRIDGE (BROOKSIDE) SIDINGS","HRJ5","","","false","",""
"QR","GBS2","7063","0.0429","0.1096","GUIDE BRIDGE (AVENUE) SIDINGS","HRJ5","","","false","",""
"QR","GDW","2347","-0.0105","1.0128","GLOSSOP - DINTING WEST JN (GLOSSOP BCH)(G4)","HRJ5","","","false","",""
"QR","GJC","2348","21.0064","27.1059","GANNOW JN - COLNE","HRJ1","","","false","",""
"QR","GJH","3597","0.0000","3.0039","GRETNA BRANCH (LONGTOWN SIDINGS) (PART CLOSED)","HRJ1","","","false","",""
"QR","GMC","3077","39.0827","40.0321","BREDBURY GMC SDG - WOODLEY JN (GLAZEBROOK-GODLEY LINE)(G3)","HRJ5","","","false","",""
"QR","GSG","2356","-0.0001","0.0807","GRESTY LANE NO 1 - SALOP GOODS JN (SALOP LINES)","HRJ4","","","false","",""
"QR","GSW","1063","115.0001","116.0308","KILMARNOCK GBK JN - GRETNA JN (G&SW LINE)","HRJ1","","","false","",""
"QR","HAJ","2357","0.0790","12.1478","ARDWICK JN - LM/ER BDY (DUNFORD BRIDGE)(MCR-SHEFFIELD LINE)(PART CLO.)(M9)","HRJ5","","","false","",""
"QR","HBL","2362","-0.0015","1.0661","HEST BANK JN - BARE LANE JN","HRJ1","","","false","",""
"QR","HCN","2365","0.0356","0.1603","HARTFORD CLC JN - HARTFORD JN","HRJ4","","","false","",""
"QR","HEG","2366","21.1467","22.0228","HARTFORD EAST JN - HARTFORD NTH JN","HRJ4","","","false","",""
"QR","HGC","3527","2.0737","2.1444","HAZEL GROVE E JN - HAZEL GROVE HIGH LEVEL JN (HAZEL GROVE CHORD)","HRJ5","","","false","",""
"QR","HHJ","2367","0.0037","8.1490","HOOTON JN - HELSBY JN (HOOTON - HELSBY LINE)(H21)","HRJ4","","","false","",""
"QR","HNO","3465","0.0628","1.0946","HARTFORD NORTH JN - OAKLEIGH SIDING","HRJ4","","","false","",""
"QR","HNS","2378","-0.0176","4.1576","HEATON NORRIS JN - GUIDE BR STN JN (HEATON NORRIS-GUIDE BRIDGE LINE)(H11)","HRJ5","","","false","",""
"QR","HOB2","3464","-0.0340","0.1200","HAYDOCK BRANCH JN - ASHTON IN MAKERFIELD (ST HELENS BCH)(S4)","HRJ4","","","false","",""
"QR","HOK","0","0.0000","0.0869","HORROCKSFORD BRANCH","HRJ1","","","false","",""
"QR","HOT","0","0.0000","0.1759","HORWICH TOWN BRANCH","HRJ5","","","false","",""
"QR","HWG","2389","0.0245","0.0629","HARTFORD WEST JN - HARTFORD NTH JN","HRJ4","","","false","",""
"QR","HXS1","2274","0.0040","6.0256","L'POOL CENT - HUNTS CROSS W JN (MERSEY RLY/LINK/CLC)(M43/LINK/C30)","HRJ4","","","false","",""
"QR","HXS2","2278","34.1611","37.0278","SANDHILLS JN - L'POOL CENT (PEMBERTON-L'POOL/LINK/MERSEY RLY)(P4/G20/M43)","HRJ4","","","false","",""
"QR","HXS3","2280","1.0909","18.0855","SANDHILLS JN - SOUTHPORT (L'POOL - SOUTHPORT LINE)(L22)","HRJ4","","","false","",""
"QR","IMG","2390","0.0000","0.1337","BAMFURLONG SDGS JN - INCE MOSS JN (BAMFURLONG SIDINGS CURVE)(B109)","HRJ4","","","false","",""
"QR","KBS1","6853","8.0590","20.0028","KIRKHAM NTH JN - BLACKPOOL CENTRAL (COASTAL ROUTE) (PART CLOSED)","HRJ1","","","false","",""
"QR","KCS1","3460","1.0441","8.0729","KIDSGROVE JN - CREWE SOUTH JN","HRJ4","","","false","",""
"QR","KMG1","3455","3.0688","5.1281","KINGMOOR JN - KINGMOOR YARD (FOR UP RECEP) VIA GOODS LINES","HRJ1","","","false","",""
"QR","KMG2","3458","4.1032","9.0567","KINGMOOR YD(FOR UP REC)-MOSSBAND JN VIA GOODS LINES","HRJ1","","","false","",""
"QR","LCN","2403","13.0846","17.0535","LOSTOCK JN - CROW NEST JN (LOSTOCK - PEMBERTON LINE)(L30)","HRJ5","","","false","",""
"QR","LCS","0","0.0000","0.1144","EDGE HILL JN-CROWN ST GOODS(LIVERPOOL CROWN ST GDS BCH)(L19)(PART SIDINGS)","HRJ4","","","false","",""
