"ELR_ZONE","ELR","ELR_SYSID","ELR_STARTMILES","End Mileage","ELR_DESCRIPTION","ELR_SUBZONE","ELR_DRNMOD","ELR_STATUS"," ELR_INCLUDE","ELR_SMA","ELR_ELECTRIFICATION"
"QF","BRI2","2812","100.0956","106.0946","ULCEBY NTH JN - IMMINGHAM DOCK (ABP)","HFJ4","","","false","",""
"QF","BTB","0","8.0945","8.1122","BARLOW TIP BRANCH (SIDING)","HFJ7","","","false","",""
"QF","BTJ","2716","158.1452","162.0770","BRIGHTSIDE - TREETON JN","HFJ4","","","false","",""
"QF","BWC","2717","0.0000","4.0300","BEDLINGTON JN - WOODHORN COLLIERY (4M220Y TO 4M300Y N.C.B. RESPONSIBILTY)","HFJ1","","","false","",""
"QF","CCN","239","9.0198","9.1232","CLIPSTONE COLLIERY NORTH","HFJ4","","","false","",""
"QF","CEM","2822","8.1440","11.0206","CLIPSTONE EAST JN - MANSFIELD COLLIERY","HFJ4","","","false","",""
"QF","CFM","342","10.0682","15.1378","CHURCH FENTON NORTH JN MICKLEFIELD JN","HFJ6","","","false","",""
"QF","CHR","2721","146.1298","162.0528","CHESTERFIELD ROTHERHAM (TAPTON JN TO MASBOROUGH STN NORTH JN)","HFJ4","","","false","",""
"QF","CHS","2703","-0.0045","1.1167","CRIGGLESTONE JN HORBURY JN","HFJ6","","","false","",""
"QF","CPM1","2832","56.0924","59.0066","PONTEFRACT W JN - FORMER CUTSYKE JN","HFJ7","","","false","",""
"QF","CPM2","2836","0.0000","0.1386","FORMER CUTSYKE JN - CASTLEFORD W JN","HFJ7","","","false","",""
"QF","CTL","2726","-0.0002","0.1166","CALDER BRIDGE JN TURNERS LANE JN","HFJ7","","","false","",""
"QF","CWS","2727","10.1452","11.0110","CLIPSTONE WEST JN - CLIPSTONE SOUTH JN","HFJ4","","","false","",""
"QF","DAE1","2840","1.0419","8.0616","DARLINGTON PARKGATE JN - SHILDON SOUTH JN","HFJ1","","","false","",""
"QF","DAE2","2843","8.0616","14.1034","SHILDON STH JN - WEAR VALLEY JN COM","HFJ1","","","false","",""
"QF","DAE3","2845","0.0000","15.1738","WEAR VALLEY JN - EASTGATE (BLUE CIRCLE CEMENT)","HFJ6","","","false","",""
"QF","DEL","0","-999.0000","999.0000","DELETED RECORDS","","","","false","",""
"QF","DLO","0","0.0000","1.0000","DARNALL DEPOT","HFJ4","","","false","",""
"QF","DOL1","2860","162.1101","175.0704","DONCASTER MARSHGATE JN - WAKEFIELD 175M 32CH","HFJ6","","","false","",""
"QF","DOL2","2873","175.0704","185.1597","WAKEFIELD 175M 32CH - LEEDS CITY STATION (C.O.M.)","HFJ6","","","false","",""
"QF","DOW","2728","17.1541","33.0799","DONCASTER WRAWBY","HFJ4","","","false","",""
"QF","DRA1","2882","-0.0040","4.0548","DRAX POWER STATION - APPROACH TRACKS","HFJ7","","","false","",""
"QF","DRS1","2737","0.0000","0.0439","DEWSBURY EAST JN - 0M 20CH","HFJ6","","","false","",""
"QF","DRS2","4064","0.0308","41.1325","DEWSBURY 0M 14CH - 0M 27CH COM","HFJ6","","","false","",""
"QF","DRS3","6028","0.0000","0.0990","COM - DEWSBURY RAILWAY ST GDS YARD","HFJ6","","","false","",""
"QF","DSN1","2884","5.0881","8.1263","DARLINGTON S JN - EAGLESCLIFFE S JN","HFJ1","","","false","",""
"QF","DSN2","6594","10.0286","21.1584","FORMER EAGLESCLIFFE N JN - C.O.M. REDCAR (DARLINGTON - SALTBURN)","HFJ1","","","false","",""
"QF","DSN3","3272","22.0352","27.1255","C.O.M. REDCAR - SALTBURN (DARLINGTON - SALTBURN)","HFJ1","","","false","",""
"QF","DWS","4005","0.0000","0.1621","DORE WEST - DORE STATION JN","HFJ4","","","false","",""
"QF","EGG1","4008","0.0000","0.0137","EGGBOROUGH POWER STATION - APPROACH TRACKS","HFJ7","","","false","",""
"QF","EGG2","4009","1.0111","2.1320","EGGBOROUGH POWER STATION - MGR LOOP","HFJ6","","","false","",""
"QF","EJM","3615","7.0186","20.1012","EARSDON JN - MORPETH NORTH JN","HFJ1","","","false","",""
"QF","ELN","3617","195.0433","195.1146","ENGINE SHED JN LEEDS CITY NORTH JN","HFJ6","","","false","",""
"QF","FAB","0","0.0286","1.0110","FARNLEY & WORTLEY BRANCH","HFJ6","","","false","",""
"QF","FKW","6420","2.0593","2.1567","FERRYBRIDGE NORTH JN - KNOTTINGLEY WEST JN","HFJ7","","","false","",""
"QF","FRC1","4010","0.0000","0.0743","FRICKLEY COLLIERY BRANCH","HFJ4","","","false","",""
"QF","GDL","0","0.0000","1.0000","GOOLE DOCK LINE (OPEN SIDING)","HFJ6","","","false","",""
"QF","GHM","6030","0.0000","1.0000","GOOLE HIGH LEVEL MINERAL LINE (OPEN SIDING)","HFJ6","","","false","",""
"QF","GOC","0","15.0374","16.1738","GOLDTHORPE COLLIERY BRANCH","HFJ4","","","false","",""
"QF","GRC2","0","55.1694","58.0682","MILEAGE CHANGE TO GRIMETHORPE","HFJ6","","","false","",""
"QF","GRD","2798","-0.0009","1.0262","GREETLAND JN DRYCLOUGH JN","HFJ6","","","false","",""
"QF","GUE1","0","204.0726","205.0154","GUISELEY STN JN SHIPLEY (CLOSED)","HFJ6","","","false","",""
"QF","GUE2","3649","-0.0001","3.0894","ESHOLT JN TO DOCKFIELD JN (GUISELEY - SHIPLEY)","HFJ6","","","false","",""
"QF","HAC","2813","11.0440","15.0000","HARWORTH COLLIERY","HFJ4","","","false","",""
"QF","HAH1","0","0.0000","0.1628","BELASIS LANE JCN TO MILEAGE CHANGE (HAVERTON HILL SOUTH BRANCH)","HFJ1","","","false","",""
"QF","HAS","0","0.0000","0.0255","HARROGATE GOODS (OPEN SIDING)","HFJ7","","","false","",""
"QF","HAU","2815","0.0690","1.0993","HABROUGH JNC ULCEBY SOUTH JNC","HFJ4","","","false","",""
"QF","HAY1","3258","2.1511","18.1320","YORK SKELTON JN - 18M 60CH","HFJ7","","","false","",""
"QF","HAY2","3256","18.1320","20.0836","18M 60CH - HARROGATE STATION","HFJ7","","","false","",""
"QF","HBS","2830","0.0466","50.0946","HULL BRIDLINGTON SEAMER","HFJ7","","","false","",""
"QF","HCD","2835","0.0000","0.1360","HOLMES CHORD (ROTHERHAM)","HFJ4","","","false","",""
"QF","HEM","0","20.1012","21.0726","HAWTHORN COLLIERY BRANCH","HFJ1","","","false","",""
"QF","HIM","2848","9.1583","27.1493","SHIREBROOK EAST JN - HIGH MARNHAM","HFJ4","","","false","",""
"QF","HJM","2851","19.0968","20.0924","HEPSCOTT JN - MORPETH JN","HFJ1","","","false","",""
"QF","HJS","2852","-0.0030","5.1386","HESSLE ROAD JUNCTION TO SALTEND.","HFJ7","","","false","",""
"QF","HLD","6974","72.0438","72.0518","HARTLEPOOL DOCKS","HFJ1","","","false","",""
