"ELR_ZONE","ELR","ELR_SYSID","ELR_STARTMILES","End Mileage","ELR_DESCRIPTION","ELR_SUBZONE","ELR_DRNMOD","ELR_STATUS"," ELR_INCLUDE","ELR_SMA","ELR_ELECTRIFICATION"
"QC","CRL","4229","271.0168","281.1293","CLARBESTON ROAD & LETTERSTON LINE","HCJ6","","","false","",""
"QC","CRY","4230","0.0333","2.1321","CARDIFF RAILWAY","HCJ8","","","false","",""
"QC","CWL1","7169","20.0029","20.0255","CENTRAL WALES LINE","HCJ7","","","false","",""
"QC","CWL2","4237","0.0000","59.0301","CENTRAL WALES LINE","HCJ7","","","false","",""
"QC","CWT","4564","-0.0015","0.0062","CAERWENT BRANCH","HCJ6","","","false","",""
"QC","CYA","0","13.1580","15.0176","CYLLA BRANCH","HCJ6","","","false","",""
"QC","DAN","0","46.0484","46.1445","DANYGRAIG BRANCH","HCJ6","","","false","",""
"QC","DEL","0","-999.0000","999.0000","DELETED RECORDS","","","","false","",""
"QC","DJP","2320","78.1264","132.1534","DOVEY JN - PWLLHELI","HCJ7","","","false","",""
"QC","DOK","0","4.0550","4.1188","NOT USED  - NOW INCLUDED IN ROA (ROATH BRANCH)","HCJ6","","","false","",""
"QC","EBW","4258","14.0453","19.1568","EBBW VALE BRANCH","HCJ6","","","false","",""
"QC","ELY","0","0.0046","0.1025","ELY VALLEY BRANCH","HCJ6","","","false","",""
"QC","ERB","941","-0.0005","1.0198","ELF REFINERY BRANCH","HCJ6","","","false","",""
"QC","EUB","943","0.0000","2.1535","EAST USK BRANCH","HCJ6","","","false","",""
"QC","EUJ","4570","157.0169","157.0240","EAST USK YARD","HCJ6","","","false","",""
"QC","FOR","4571","-0.0007","1.0330","FORDS BRANCH","HCJ6","","","false","",""
"QC","FSH","4269","287.1142","289.0152","FISHGUARD HARBOUR LINES","HCJ6","","","false","",""
"QC","GAE","4270","159.0705","160.0517","GAER BRANCH","HCJ6","","","false","",""
"QC","GAW1","6058","0.0535","0.1214","GARW VALLEY BRANCH","HCJ6","","","false","",""
"QC","GAW2","0","0.0000","5.1628","GARW VALLEY BRANCH","HCJ6","","","false","",""
"QC","GCT","0","121.0814","143.0054","(CLOSED) GRANGE COURT & HEREFORD LINE {EX GCH}","HCJ6","","","false","",""
"QC","GLA","2349","0.0000","17.0814","GAERWEN - AMLWCH","HCJ7","","","false","",""
"QC","GLD","0","0.0000","1.0517","GLOUCESTER LLANTHONY DOCKS BRANCH","HCJ6","","","false","",""
"QC","GNQ1","2350","-0.0243","2.0077","GOBOWEN - OSWESTRY MILEPOST CHANGE","HCJ7","","","false","",""
"QC","GNQ2","0","0.0000","2.0845","TANAT VALLEY BRNCH FROM LLYNCLYS JN","HCJ7","","","false","",""
"QC","GNQ3","0","2.1169","3.0124","LLANYMYNECH - NANTMAWR QUARRY","HCJ7","","","false","",""
"QC","GNQ4","0","0.0000","31.0462","OSWESTRY JCN - LLYNCLYS JCN_(FORMERLY KNOWN AS PART OF WBJ)","HCJ7","","","false","",""
"QC","GNT","964","10.0020","14.1379","GARNANT BRANCH","HCJ6","","","false","",""
"QC","GNY1","0","113.0376","113.1203","GLOUCESTER NEW YARD (OFF SWM2) (CLOSED)","HCJ6","","","false","",""
"QC","GOB","967","-0.0001","2.0779","GULF OIL BRANCH","HCJ6","","","false","",""
"QC","GRF","0","0.0000","0.0946","GLASCOED ROF BRANCH (FORMERLY GLA)","HCJ6","","","false","",""
"QC","GWA","966","14.1304","17.0011","GWAUN-CAE-GURWEN BRANCH","HCJ6","","","false","",""
"QC","HDC","4272","0.0000","2.0238","HEREFORD CURVE (RED HILL JN TO ROTHERWAS JN)","HCJ7","","","false","",""
"QC","HDY","990","-0.0003","0.1081","HENDY LOOP","HCJ6","","","false","",""
"QC","HNL1","985","2.0238","41.1463","HEREFORD & NEWPORT LINE (REDHILL JN - NEWPORT)","HCJ7","","","false","",""
"QC","HNL2","4279","149.0923","149.1245","HEREFORD & NEWPORT LINE (BARRS COURT JN TO RED HILL JN)","HCJ7","","","false","",""
"QC","HRD1","0","6.0398","6.1069","HALLS ROAD LOWER SECTION (LIME KILN JN TO FORMER HALLS RD JN)","HCJ6","","","false","",""
"QC","HRD2","0","0.0000","4.1474","HALLS ROAD LOWER SECTION (FORMER HALLS RD JN TO PENAR JN)","HCJ6","","","false","",""
"QC","JER","993","1.0513","2.0527","JERSEY MARINE LOOP","HCJ6","","","false","",""
"QC","JYL","4574","44.0196","46.0154","JERSEY MARINE YARD LINE","HCJ6","","","false","",""
"QC","KID1","0","1.1100","1.1731","KIDWELLY BRANCH","HCJ6","","","false","",""
"QC","KID2","0","233.1652","234.0084","KIDWELLY BRANCH","HCJ6","","","false","",""
"QC","LDA","0","4.0781","4.0891","LLANDAFF LOOP LINE","HCJ6","","","false","",""
"QC","LDZ","4576","0.0000","0.0957","LLANDEILO LOOP OR GENWEN LOOP LINE (LLANDEILO JC TO GENWEN JC)","HCJ6","","","false","",""
"QC","LJL1","0","224.1580","225.0264","NEVILL'S DOCK  END LLANELLI DOCK LOOP","HCJ6","","","false","",""
"QC","LJL2","0","224.1606","225.0235","LLANELLI DOCK JN. LLANELLI DOCK LINE LOOP","HCJ6","","","false","",""
"QC","LJT1","3449","0.0800","27.1312","LLANDUDNO JN - BLAENAU FFESTINIOG","HCJ7","","","false","",""
