60097265,ABD,17.0374,QX,5612,17.0374,0,NP,HSD,,,,,HXJ1,,FALSE,,,,NP,,,,,60097265,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097266,ABD,17.0858,QX,5612,17.0858,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097266,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097267,ABD,16.1606,QX,5612,16.1606,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097267,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097269,ABD,17.0022,QX,5612,17.0022,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097269,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097270,ABD,17.0088,QX,5612,17.0088,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097270,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097271,ABD,17.0198,QX,5612,17.0198,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097271,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097272,ABD,17.0264,QX,5612,17.0264,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097272,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097273,ABD,17.0286,QX,5612,17.0286,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097273,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097274,ABD,17.0484,QX,5612,17.0484,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097274,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097275,ABD,17.0528,QX,5612,17.0528,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097275,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097277,ABD,17.0682,QX,5612,17.0682,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097277,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097278,ABD,16.1584,QX,5612,16.1584,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097278,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097279,ABD,17.0902,QX,5612,17.0902,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097279,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097280,ABD,17.0968,QX,5612,17.0968,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097280,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097281,ABD,17.1034,QX,5612,17.1034,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097281,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097282,ABD,17.1144,QX,5612,17.1144,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097282,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097283,ABD,17.1628,QX,5612,17.1628,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097283,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
60097284,ABD,17.1716,QX,5612,17.1716,0,NP,HSL,,,,,HXJ1,,FALSE,,,,NP,,,,,60097284,22-Jul-20,ST01_PBRAGG1,GTRM,7777,,N,
